20220623161417,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20220623161418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161420,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0
20220623161421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161422,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161423,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
20220623161424,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
20220623161425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161427,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
20220623161428,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161429,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161430,0,6,0,0,0,0,0,0,1,1,1,1,1,1,1,1
20220623161431,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161432,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161433,0,5,0,0,0,0,0,0,1,1,1,1,1,1,1,1
20220623161434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220623161435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

